 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
MAINE,2017,24,,-,2,,7,,26,,43,,,-,0,,3,,6,,11,,,-,0,,1,,3,,,-,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,24,11,,17,,52,,240,,223,,2,,2,,39,,27,,33,,4,,4,,68,,70,,292,,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,24,13,,12,,33,,253,,238,,1,,3,,11,,25,,87,,3,,4,,16,,74,,52,,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2017,24,1,,2,,7,,37,,33,,,-,0,,2,,2,,2,,,-,0,,4,,11,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,24,4,,9,,23,,161,,165,,1,,4,,12,,73,,62,,2,,1,,5,,45,,74,,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2017,24,,-,26,,93,,353,,590,,,-,1,,5,,16,,21,,,-,8,,28,,89,,149,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2017,24,18,,0,,754,,274,,,-,,-,0,,259,,63,,,-,,-,0,,191,,67,,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2017,24,,-,21,,78,,216,,684,,,-,0,,4,,8,,30,,,-,3,,18,,94,,262,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2017,24,1,,2,,8,,37,,58,,,-,0,,2,,5,,7,,,-,0,,2,,12,,1,,"VERMONT
(43.622479, -72.51927)",
TEXAS,2017,24,70,,98,,548,,1356,,1572,,2,,19,,119,,344,,286,,13,,52,,142,,658,,2211,,"TEXAS
(31.827233, -99.423022)",
NEW JERSEY,2017,24,,-,13,,55,,77,,308,,,-,2,,7,,38,,56,,,-,5,,12,,91,,111,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2017,24,15,,22,,46,,338,,370,,,-,2,,9,,55,,51,,1,,3,,13,,61,,205,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,24,,-,4,,107,,76,,88,,,-,1,,9,,29,,26,,,-,0,,2,,7,,11,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2017,24,,-,10,,34,,35,,372,,,-,2,,13,,8,,87,,,-,7,,36,,170,,473,,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,25,471,,817,,1937,,15310,,18464,,47,,125,,504,,2276,,2861,,108,,286,,621,,5572,,10668,,,
NEW ENGLAND,2017,25,2,,36,,79,,726,,866,,1,,5,,16,,100,,161,,,-,6,,13,,131,,109,,,
MID. ATLANTIC,2017,25,43,,74,,205,,1411,,1726,,4,,14,,31,,268,,285,,12,,25,,44,,492,,730,,,
NEW YORK CITY,2017,25,,-,17,,46,,362,,339,,,-,3,,7,,56,,37,,,-,8,,13,,181,,171,,,
E.N. CENTRAL,2017,25,,-,89,,209,,1525,,2511,,,-,11,,88,,181,,392,,2,,46,,105,,850,,1835,,,
W.N. CENTRAL,2017,25,36,,61,,232,,1114,,1511,,10,,20,,62,,334,,537,,9,,16,,50,,263,,1574,,,
S. ATLANTIC,2017,25,211,,202,,512,,4026,,4501,,6,,11,,27,,240,,211,,35,,50,,80,,1100,,1292,,,
NEBRASKA,2017,25,11,,6,,14,,138,,108,,3,,2,,9,,59,,57,,,-,1,,8,,10,,112,,"NEBRASKA
(41.640503, -99.367122)",
E.S. CENTRAL,2017,25,24,,68,,209,,1131,,1435,,,-,5,,13,,91,,121,,4,,17,,28,,411,,373,,,
W.S. CENTRAL,2017,25,67,,136,,629,,2060,,2605,,5,,25,,164,,407,,401,,18,,66,,199,,936,,2972,,,
MOUNTAIN,2017,25,42,,54,,94,,1116,,1122,,10,,14,,35,,240,,332,,12,,23,,56,,427,,977,,,
PACIFIC,2017,25,46,,108,,824,,2201,,2187,,11,,22,,274,,415,,421,,16,,46,,232,,962,,806,,,
AMER. SAMOA,2017,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WISCONSIN,2017,25,,-,10,,34,,48,,394,,,-,2,,13,,8,,93,,2,,7,,36,,173,,509,,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2017,25,1,,2,,17,,35,,35,,,-,0,,2,,3,,4,,,-,1,,6,,23,,21,,"DELAWARE
(39.008676, -75.574561)",
INDIANA,2017,25,,-,13,,32,,207,,321,,,-,1,,8,,21,,42,,,-,3,,9,,34,,173,,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2017,25,,-,8,,22,,165,,202,,,-,1,,7,,17,,80,,,-,1,,4,,30,,17,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,25,,-,3,,8,,42,,85,,,-,0,,4,,9,,25,,,-,1,,10,,12,,20,,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2017,25,11,,33,,90,,602,,696,,1,,3,,9,,58,,40,,5,,9,,20,,196,,380,,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2017,25,17,,26,,66,,519,,548,,1,,4,,14,,82,,87,,1,,8,,30,,124,,367,,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,25,1,,2,,7,,31,,46,,,-,0,,3,,6,,11,,,-,0,,1,,3,,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,25,10,,13,,46,,195,,197,,2,,2,,7,,29,,46,,4,,3,,15,,127,,81,,"ARKANSAS
(34.748745, -92.275105)",
NORTH CAROLINA,2017,25,,-,25,,93,,373,,648,,,-,1,,5,,16,,23,,,-,8,,28,,90,,152,,"NORTH CAROLINA
(35.47995, -79.180571)",
DIST. OF COL.,2017,25,,-,0,,4,,,-,6,,,-,0,,1,,,-,2,,,-,0,,2,,,-,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARIZONA,2017,25,18,,17,,34,,334,,321,,4,,3,,8,,65,,64,,5,,12,,45,,210,,771,,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2017,25,2,,16,,110,,255,,345,,,-,3,,8,,52,,64,,1,,4,,13,,115,,83,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2017,25,5,,4,,10,,93,,76,,2,,3,,12,,69,,59,,1,,0,,3,,11,,34,,"IDAHO
(43.680635, -114.364237)",
TEXAS,2017,25,40,,97,,572,,1431,,1690,,,-,19,,120,,344,,308,,12,,50,,148,,678,,2345,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2017,25,,-,2,,9,,48,,62,,,-,0,,3,,18,,19,,,-,0,,2,,,-,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2017,25,,-,17,,53,,172,,465,,,-,0,,2,,3,,10,,,-,5,,22,,59,,186,,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2017,25,29,,0,,754,,292,,,-,10,,0,,259,,67,,,-,9,,0,,191,,75,,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,25,6,,9,,23,,179,,181,,1,,3,,12,,80,,64,,2,,1,,5,,48,,75,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,25,,-,13,,55,,77,,326,,,-,2,,7,,38,,60,,,-,5,,12,,91,,113,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2017,25,17,,17,,52,,262,,253,,3,,2,,39,,31,,37,,2,,4,,68,,72,,360,,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2017,25,,-,3,,12,,28,,92,,,-,0,,3,,1,,9,,,-,0,,2,,2,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2017,25,,-,2,,7,,40,,35,,,-,0,,2,,2,,2,,,-,1,,4,,14,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,25,,-,1,,6,,38,,32,,,-,0,,2,,3,,3,,,-,0,,3,,5,,3,,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2017,25,,-,28,,63,,441,,733,,,-,3,,62,,29,,129,,,-,7,,20,,118,,329,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,25,,-,4,,107,,82,,92,,,-,1,,9,,31,,26,,,-,0,,2,,7,,11,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2017,25,17,,19,,54,,330,,328,,,-,0,,2,,7,,9,,,-,2,,8,,74,,29,,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,25,1,,2,,8,,39,,64,,,-,0,,2,,5,,7,,,-,0,,2,,12,,1,,"VERMONT
(43.622479, -72.51927)",
ALASKA,2017,25,2,,1,,5,,17,,31,,,-,0,,3,,3,,6,,,-,0,,2,,6,,3,,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,25,1,,9,,25,,176,,163,,,-,2,,18,,32,,55,,,-,3,,17,,62,,145,,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2017,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2017,25,20,,19,,42,,388,,368,,6,,7,,19,,129,,117,,9,,7,,33,,143,,502,,"MISSOURI
(38.636168, -92.566292)",
UTAH,2017,25,1,,6,,16,,167,,168,,,-,1,,5,,17,,26,,,-,0,,4,,14,,40,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,25,8,,86,,147,,1612,,1869,,,-,14,,39,,251,,343,,5,,42,,71,,812,,705,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,25,5,,11,,35,,227,,301,,,-,1,,5,,18,,36,,2,,6,,16,,127,,100,,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2017,25,,-,25,,68,,482,,614,,,-,4,,14,,70,,70,,,-,17,,30,,274,,556,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,25,1,,5,,16,,101,,106,,,-,0,,3,,14,,8,,,-,0,,3,,21,,23,,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2017,25,,-,10,,25,,131,,264,,,-,0,,0,,,-,,-,,-,0,,2,,5,,16,,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2017,25,163,,111,,211,,2107,,1891,,2,,2,,12,,67,,38,,27,,17,,54,,526,,312,,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,25,,-,24,,48,,319,,461,,,-,0,,4,,14,,12,,1,,3,,8,,95,,161,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2017,25,,-,23,,52,,404,,441,,,-,2,,14,,59,,48,,,-,3,,8,,65,,77,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2017,25,,-,3,,10,,47,,78,,1,,0,,3,,11,,13,,,-,0,,3,,7,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2017,25,,-,19,,78,,216,,427,,,-,0,,4,,8,,17,,,-,3,,18,,94,,142,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2017,25,26,,25,,65,,453,,513,,3,,4,,15,,92,,101,,11,,4,,14,,96,,79,,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,25,,-,9,,37,,,-,423,,,-,4,,22,,,-,156,,,-,1,,11,,,-,491,,"MINNESOTA
(46.357661, -94.793397)",
VIRGINIA,2017,25,13,,22,,46,,358,,394,,,-,2,,9,,57,,52,,1,,3,,13,,63,,217,,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2017,25,23,,14,,38,,307,,312,,3,,1,,6,,30,,26,,2,,3,,8,,106,,63,,"MARYLAND
(39.290443, -76.612333)",
NEW MEXICO,2017,25,,-,6,,17,,111,,111,,,-,0,,5,,11,,17,,,-,4,,22,,90,,52,,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2017,25,,-,0,,5,,,-,6,,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,25,18,,13,,33,,271,,254,,3,,3,,11,,28,,95,,6,,4,,16,,80,,54,,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2017,25,,-,16,,43,,347,,449,,,-,2,,10,,53,,58,,,-,12,,31,,251,,268,,"MICHIGAN
(44.66399, -84.711206)",
MONTANA,2017,25,,-,3,,22,,60,,75,,1,,2,,19,,38,,43,,,-,0,,3,,5,,3,,"MONTANA
(47.062617, -109.430168)",
IOWA,2017,25,4,,13,,55,,282,,295,,1,,3,,19,,65,,107,,,-,3,,13,,41,,306,,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2017,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UNITED STATES,2017,26,282,,805,,1954,,16082,,19948,,72,,125,,506,,2415,,3134,,95,,276,,624,,5798,,11121,,,
NEW ENGLAND,2017,26,4,,35,,79,,744,,926,,2,,5,,16,,105,,170,,,-,6,,13,,131,,114,,,
MID. ATLANTIC,2017,26,67,,74,,205,,1510,,1863,,10,,14,,31,,286,,306,,10,,24,,43,,509,,758,,,
NEW YORK CITY,2017,26,21,,17,,46,,383,,369,,1,,3,,7,,57,,38,,5,,7,,13,,186,,176,,,
E.N. CENTRAL,2017,26,4,,89,,208,,1595,,2684,,1,,11,,88,,191,,480,,2,,44,,103,,889,,1933,,,
W.N. CENTRAL,2017,26,38,,61,,232,,1184,,1743,,20,,20,,62,,363,,593,,10,,15,,50,,277,,1617,,,
S. ATLANTIC,2017,26,43,,204,,511,,4120,,4842,,3,,11,,27,,243,,232,,11,,50,,79,,1119,,1349,,,
E.S. CENTRAL,2017,26,9,,71,,210,,1225,,1533,,1,,6,,13,,101,,128,,5,,17,,29,,428,,383,,,
W.S. CENTRAL,2017,26,61,,136,,646,,2146,,2815,,2,,25,,166,,409,,430,,16,,65,,202,,962,,3099,,,
MOUNTAIN,2017,26,43,,56,,94,,1232,,1195,,7,,14,,34,,252,,355,,15,,23,,55,,456,,1014,,,
PACIFIC,2017,26,13,,108,,824,,2326,,2347,,26,,22,,274,,465,,440,,26,,45,,232,,1027,,854,,,
AMER. SAMOA,2017,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2017,26,1,,3,,10,,47,,84,,,-,0,,3,,11,,13,,,-,0,,3,,7,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
RHODE ISLAND,2017,26,1,,2,,7,,42,,40,,,-,0,,2,,2,,3,,,-,1,,4,,14,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH DAKOTA,2017,26,,-,4,,107,,82,,199,,,-,1,,9,,31,,27,,,-,0,,2,,7,,13,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,26,,-,2,,7,,32,,50,,,-,0,,3,,7,,13,,,-,0,,1,,3,,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK,2017,26,28,,25,,65,,482,,550,,6,,4,,15,,98,,105,,3,,4,,14,,98,,81,,"NEW YORK
(42.826892, -75.544286)",
VIRGIN ISL.,2017,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,26,13,,13,,33,,284,,272,,1,,3,,11,,29,,102,,8,,4,,16,,88,,56,,"COLORADO
(38.841772, -106.132562)",
NORTH CAROLINA,2017,26,,-,24,,93,,373,,722,,,-,1,,5,,16,,26,,,-,8,,28,,90,,158,,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2017,26,,-,5,,16,,101,,118,,,-,0,,3,,14,,8,,,-,0,,3,,21,,24,,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,26,9,,9,,25,,199,,180,,1,,2,,18,,38,,59,,,-,3,,17,,64,,149,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,26,11,,15,,38,,326,,327,,2,,1,,6,,28,,26,,7,,4,,8,,117,,68,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2017,26,,-,0,,5,,,-,6,,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2017,26,,-,12,,55,,86,,351,,,-,2,,7,,41,,67,,,-,5,,12,,91,,118,,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2017,26,2,,3,,12,,36,,96,,,-,0,,3,,1,,12,,,-,0,,2,,2,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2017,26,7,,0,,754,,298,,,-,25,,0,,259,,91,,,-,22,,0,,191,,96,,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,26,2,,6,,17,,122,,126,,,-,0,,5,,11,,18,,,-,4,,22,,91,,64,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,26,,-,28,,63,,441,,785,,,-,2,,62,,29,,191,,,-,7,,20,,118,,344,,"ILLINOIS
(40.477092, -88.993221)",
IDAHO,2017,26,3,,4,,10,,97,,79,,3,,3,,12,,74,,65,,,-,0,,3,,11,,34,,"IDAHO
(43.680635, -114.364237)",
TEXAS,2017,26,32,,93,,589,,1483,,1829,,,-,19,,122,,344,,327,,14,,47,,151,,701,,2442,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,26,,-,8,,34,,51,,420,,,-,2,,13,,9,,103,,,-,7,,23,,173,,527,,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,26,,-,13,,55,,282,,317,,,-,3,,19,,65,,126,,,-,2,,13,,41,,319,,"IOWA
(42.46942, -93.815856)",
ARIZONA,2017,26,9,,17,,34,,351,,338,,1,,3,,8,,68,,66,,7,,12,,30,,220,,793,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2017,26,,-,2,,9,,48,,68,,,-,0,,3,,18,,20,,,-,0,,2,,,-,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2017,26,,-,111,,211,,2107,,2014,,,-,2,,12,,67,,45,,,-,17,,54,,526,,329,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2017,26,18,,26,,66,,559,,593,,3,,4,,14,,90,,96,,2,,8,,21,,134,,383,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2017,26,5,,3,,22,,68,,80,,1,,2,,19,,41,,47,,,-,0,,3,,5,,3,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,26,23,,19,,42,,421,,407,,14,,7,,19,,148,,125,,10,,7,,33,,155,,512,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,26,,-,7,,32,,,-,455,,,-,3,,22,,,-,173,,,-,1,,11,,,-,502,,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2017,26,20,,17,,52,,283,,279,,2,,2,,39,,33,,45,,1,,4,,44,,73,,385,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2017,26,,-,16,,78,,214,,460,,,-,0,,4,,8,,20,,,-,3,,18,,94,,145,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2017,26,2,,2,,8,,43,,68,,2,,0,,2,,8,,9,,,-,0,,2,,12,,1,,"VERMONT
(43.622479, -72.51927)",
NEVADA,2017,26,,-,3,,9,,78,,92,,,-,0,,4,,8,,27,,,-,1,,10,,22,,21,,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2017,26,20,,33,,90,,647,,750,,,-,3,,9,,61,,43,,3,,9,,20,,202,,396,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,26,,-,10,,25,,131,,271,,,-,0,,0,,,-,,-,,-,0,,2,,5,,16,,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2017,26,,-,23,,48,,339,,483,,,-,0,,4,,14,,13,,,-,3,,8,,95,,164,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2017,26,1,,11,,35,,228,,323,,,-,1,,5,,18,,37,,5,,5,,16,,137,,102,,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2017,26,,-,2,,17,,37,,41,,,-,0,,2,,3,,5,,,-,1,,6,,23,,22,,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2017,26,8,,18,,111,,328,,374,,1,,3,,7,,62,,69,,,-,5,,13,,122,,87,,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2017,26,4,,17,,43,,403,,479,,1,,3,,10,,62,,61,,2,,12,,31,,291,,299,,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2017,26,,-,1,,6,,38,,34,,,-,0,,2,,3,,3,,,-,0,,3,,5,,3,,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2017,26,9,,13,,46,,208,,217,,,-,2,,6,,29,,48,,1,,3,,15,,129,,85,,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2017,26,,-,16,,53,,172,,490,,,-,0,,2,,3,,10,,,-,5,,22,,59,,187,,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2017,26,4,,82,,147,,1726,,1992,,,-,15,,39,,272,,357,,4,,41,,71,,855,,749,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,26,11,,6,,24,,194,,174,,1,,1,,5,,18,,27,,,-,0,,4,,14,,40,,"UTAH
(39.359772, -111.584173)",
ALASKA,2017,26,,-,1,,5,,17,,33,,,-,0,,3,,3,,7,,,-,0,,2,,6,,3,,"ALASKA
(64.836661, -147.738891)",
DIST. OF COL.,2017,26,,-,0,,4,,,-,6,,,-,0,,1,,,-,2,,,-,0,,2,,,-,5,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2017,26,,-,22,,52,,404,,474,,,-,2,,14,,59,,50,,,-,3,,8,,65,,79,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEBRASKA,2017,26,6,,6,,16,,152,,117,,5,,2,,9,,63,,63,,,-,1,,8,,10,,115,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,26,,-,8,,22,,176,,210,,,-,1,,7,,18,,82,,,-,1,,4,,30,,20,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,26,10,,22,,46,,380,,426,,1,,2,,9,,59,,53,,1,,3,,13,,65,,224,,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,26,,-,19,,54,,330,,353,,,-,0,,2,,7,,9,,,-,2,,8,,74,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2017,26,,-,13,,32,,218,,341,,,-,1,,8,,21,,44,,,-,3,,9,,34,,179,,"INDIANA
(39.76845, -86.156212)",
OREGON,2017,26,2,,8,,23,,184,,204,,1,,4,,12,,85,,68,,,-,1,,5,,49,,78,,"OREGON
(44.567912, -120.156945)",
OHIO,2017,26,,-,25,,68,,482,,659,,,-,4,,14,,70,,81,,,-,17,,30,,273,,584,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,27,340,,819,,1957,,17300,,21237,,33,,125,,506,,2578,,3351,,62,,276,,632,,6008,,11449,,,
NEW ENGLAND,2017,27,7,,36,,79,,818,,995,,1,,5,,16,,119,,175,,1,,6,,13,,144,,121,,,
MID. ATLANTIC,2017,27,85,,76,,205,,1615,,1990,,6,,14,,31,,296,,324,,7,,24,,43,,518,,791,,,
NEW YORK CITY,2017,27,36,,17,,46,,419,,390,,1,,3,,7,,58,,40,,3,,7,,13,,188,,178,,,
E.N. CENTRAL,2017,27,35,,92,,208,,2059,,2850,,2,,12,,45,,239,,525,,3,,43,,82,,940,,2015,,,
W.N. CENTRAL,2017,27,37,,61,,143,,1255,,1847,,7,,20,,62,,396,,640,,6,,15,,50,,289,,1633,,,
S. ATLANTIC,2017,27,32,,203,,511,,4207,,5184,,2,,11,,27,,250,,250,,5,,49,,79,,1130,,1394,,,
E.S. CENTRAL,2017,27,9,,71,,210,,1334,,1631,,1,,5,,13,,106,,136,,4,,18,,39,,462,,381,,,
W.S. CENTRAL,2017,27,88,,135,,646,,2307,,2993,,,-,24,,166,,410,,451,,22,,65,,202,,994,,3178,,,
MOUNTAIN,2017,27,16,,55,,94,,1257,,1256,,6,,14,,34,,269,,386,,6,,22,,55,,470,,1044,,,
PACIFIC,2017,27,31,,106,,824,,2448,,2491,,8,,23,,274,,493,,464,,8,,45,,232,,1061,,892,,,
AMER. SAMOA,2017,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,27,,-,10,,25,,131,,281,,,-,0,,0,,,-,,-,,-,0,,2,,5,,17,,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2017,27,4,,20,,54,,374,,382,,,-,0,,2,,10,,11,,1,,2,,8,,81,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
KANSAS,2017,27,1,,9,,25,,200,,194,,,-,2,,18,,38,,61,,,-,3,,17,,64,,149,,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2017,27,,-,22,,52,,450,,516,,,-,3,,14,,68,,53,,,-,3,,8,,74,,82,,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2017,27,2,,8,,22,,190,,221,,,-,1,,7,,20,,82,,,-,1,,4,,31,,24,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,27,,-,3,,9,,79,,95,,,-,0,,4,,8,,30,,,-,1,,10,,22,,21,,"NEVADA
(39.491833, -117.070159)",
OHIO,2017,27,34,,26,,68,,658,,703,,2,,4,,14,,94,,86,,3,,16,,30,,304,,603,,"OHIO
(40.056807, -82.405897)",
WEST VIRGINIA,2017,27,,-,3,,12,,36,,105,,,-,0,,3,,1,,13,,,-,0,,2,,2,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,27,57,,93,,589,,1607,,1933,,,-,18,,122,,344,,337,,18,,46,,151,,727,,2507,,"TEXAS
(31.827233, -99.423022)",
C.N.M.I.,2017,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ILLINOIS,2017,27,,-,27,,63,,474,,843,,,-,2,,14,,36,,205,,,-,7,,20,,123,,362,,"ILLINOIS
(40.477092, -88.993221)",
